review,score,label,at,cleaned_review
"Kurir ny pemalas,barang tidak dikirim kirim dengan status tidak ada orang,mata lo gk ada orang,kurir tidak ada inisiatif nlpn atau wa..kurir ny",0.0,neutral,2025-03-14 13:49:29,kurir pemalas barang dikirim kirim status orang mata orang kurir inisiatif nlpn kurir
Oke mantap lah cepat pengiriman pos,0.0,neutral,2025-03-12 05:38:19,oke mantap cepat pengiriman pos
Sangat Bagus & Amanah :),0.4588,positive,2025-03-11 22:30:35,bagus amanah
"dih mau regis tp tiap verifi masa gabisa2 alert ga valid terus, aneh bgt pdhl udh bener",0.296,positive,2025-03-11 19:15:28,dih regis verifi gabisa2 alert valid aneh bgt pdhl udh bener
"sangat istimewa, semoga pos indonesia semakin maju",0.0,neutral,2025-03-11 07:46:50,istimewa semoga pos indonesia maju
Aplikasi sampah mau daftar aja susah bgt gabisa mulu,0.0,neutral,2025-03-10 21:16:05,aplikasi sampah daftar aja susah bgt gabisa mulu
sangat membantu,0.0,neutral,2025-03-10 13:02:32,membantu
Mantap poll,0.0,neutral,2025-03-09 12:49:41,mantap poll
Mantap,0.0,neutral,2025-03-09 12:48:38,mantap
Sangat membantu,0.0,neutral,2025-03-09 05:11:11,membantu
Bagus,0.0,neutral,2025-03-07 20:12:42,bagus
Aplikasinya tidak bagus. Tidak lengkap. Tidak sesuai dengan yg di katakan.,0.0,neutral,2025-03-07 08:42:23,aplikasinya bagus lengkap sesuai
lebih cepat ke alamat,0.0,neutral,2025-03-07 03:02:25,cepat alamat
Kalau g bisa kirim g usah main kotak paket. Jasa layanan paket yang paling lama seharusnya lebih profesional.,0.0,neutral,2025-03-07 03:01:16,kirim main kotak paket jasa layanan paket profesional
"Cepat, mudah dan aman",0.0,neutral,2025-03-07 02:11:56,cepat mudah aman
"SUDAH 1MINGGU PAKET SAYA DARI SAMSAT TIDAK SAMPAI RUMAH, PADAHAL DEKAT PAYAH",0.0,neutral,2025-03-06 12:50:12,1minggu paket samsat rumah payah
Sangat membantu dalam proses pelayanan pengiriman barang,0.0,neutral,2025-03-05 14:44:46,membantu proses pelayanan pengiriman barang
Baik,0.0,neutral,2025-03-05 02:33:33,
Ok,0.296,positive,2025-03-04 14:27:39,
PARAH...BARANG MALAH TIDAK DIANTAR LANGSUNG KERUMAH..PEDAHAL SUDAH BAYAR ONGKIR NYA,0.0,neutral,2025-03-04 07:29:53,parah barang diantar langsung kerumah pedahal bayar ongkir nya
"Sudah update tidak bisa cek tarif .... Gimana ini aplikasi pos,kacauuuuuu.....",0.0,neutral,2025-03-03 12:24:45,update cek tarif gimana aplikasi pos kacauuuuuu
sering error dan pilihanan ongkir knapa digabung dengan admin,-0.4019,negative,2025-03-03 07:27:02,error pilihanan ongkir knapa digabung admin
Gak bisa cek tarif,0.0,neutral,2025-03-02 04:35:19,gak cek tarif
Trimakasih PosAja layanannya bagus kiriman tepat waktu,0.0,neutral,2025-03-01 01:20:07,trimakasih posaja layanannya bagus kiriman
lanjutkan pelayanan COD,0.0,neutral,2025-02-28 06:49:58,lanjutkan pelayanan cod
bagus,0.0,neutral,2025-02-28 03:51:51,bagus
"Saya baru pakai,CS nya responsif",0.0,neutral,2025-02-27 23:53:51,pakai nya responsif
Terimakasih sudah beberapa kali kirim ke bali paket succes ke alamat tujuan dan aman,0.0,neutral,2025-02-27 11:21:39,terimakasih kali kirim bali paket succes alamat tujuan aman
Pelayanannya secepat kilat ⚡,0.0,neutral,2025-02-27 06:49:37,pelayanannya secepat kilat
POS makin lamban pelayanannya..,0.0,neutral,2025-02-27 05:18:32,pos lamban pelayanannya
akhirnya uninstall karena 2x pakai malah lambat proses pengirimannya. kalau tanpa aplikasi malah 1 hari jg dah sampai. berharap bs di pick up ternyata ga bisa padahal jarak kantor pos terdekat hany 500m saja. tracking jg di alihin ke web. jd buat apa aplikasi ini ya? mending manual aja lah,0.0,neutral,2025-02-26 23:30:16,uninstall pakai lambat proses pengirimannya aplikasi dah berharap pick jarak kantor pos terdekat hany 500m tracking alihin web aplikasi mending manual aja
"no resi Barang yg udah dikirim, tapi pas di cek tidak terdata. gimana mau bersaing dengan jasa pengiriman yg lain",-0.296,negative,2025-02-26 16:15:00,resi barang udah dikirim pas cek terdata gimana bersaing jasa pengiriman
Tolong masukan pos bisa via COD biar makin laris untuk jualan,0.0,neutral,2025-02-25 22:32:28,tolong masukan pos via cod biar laris jualan
pengiriman Lemot.. super super Lemot.. sekian dan Terima Kasih..,0.8316,positive,2025-02-24 06:19:31,pengiriman lemot super super lemot sekian terima kasih
Pelayanan bagus dan milik negeri,0.0,neutral,2025-02-24 04:58:54,pelayanan bagus milik negeri
Aplikasi yg keren 👍👍🔥🔥🔥,0.0,neutral,2025-02-22 23:05:44,aplikasi keren
Mantul,0.0,neutral,2025-02-22 02:48:09,mantul
Mantep. Mudah dipahami. Terima Kasih,0.0,neutral,2025-02-22 00:43:22,mantep mudah dipahami terima kasih
Sangat cocok sebagai penunjang usaha. Sayang untuk track kiriman gak bisa jika kiriman yg lewat app.,0.0,neutral,2025-02-21 07:00:27,cocok penunjang usaha sayang track kiriman gak kiriman app
"Busuk, ga bida dipake",0.0,neutral,2025-02-20 14:26:55,busuk bida dipake
Sangat membantu,0.0,neutral,2025-02-18 07:45:02,membantu
Proses refund tidak sefleksibel expedisi lain. .refund harus ke kantor pos terdekat . .kantor posnya pun harus yg pusatnya . Kalau yg cabang ga bisa proses,0.0,neutral,2025-02-18 06:52:34,proses refund sefleksibel expedisi refund kantor pos terdekat kantor posnya pusatnya cabang proses
"aplikasi yang sangat jelek.. setelah pickup barang berhari hari gak ada update nya sama sekali,, saya sangat menyesal instal aplikasi ini..👎 aplikasi sampah",0.0,neutral,2025-02-17 23:50:34,aplikasi jelek pickup barang berhari gak update nya menyesal instal aplikasi aplikasi sampah
Knpa posaja ngak bisa cek ongkir,0.0,neutral,2025-02-17 09:48:22,knpa posaja ngak cek ongkir
Pelayanan luar biasa. Bagus,0.0,neutral,2025-02-17 05:28:14,pelayanan bagus
Nggak sukaaa aplikasinya ribet nggak sat set dan gak jelas bangettttt udsh suudzon emang sama aplikasi plat megah begininan,0.0,neutral,2025-02-17 04:47:19,nggak sukaaa aplikasinya ribet nggak sat set gak bangettttt udsh suudzon emang aplikasi plat megah begininan
Mempermudah saya,0.0,neutral,2025-02-17 02:09:41,mempermudah
"Sangat membantu sekali kami yanh dipelosok negri dalam memgirim barang, terimakasi pos aja",0.0,neutral,2025-02-16 23:19:55,membantu yanh dipelosok negri memgirim barang terimakasi pos aja
Mempermudah pengiriman. Mantap,0.0,neutral,2025-02-15 04:58:20,mempermudah pengiriman mantap
"Payah, not recommended",-0.1511,negative,2025-02-14 17:43:30,payah not recommended
Tolong Untuk Pihak Pos ajaa untuk mengelola paket dengan benar jangan memperlama pengiriman sesai yang sudah di tentukan pengirim,0.0,neutral,2025-02-14 10:51:14,tolong pos ajaa mengelola paket memperlama pengiriman sesai tentukan pengirim
Cukup Membantu untuk mengetahui posisi paket ita,0.0,neutral,2025-02-13 18:35:51,membantu posisi paket ita
"Di awal bagus pakai aplikasi posaja,ketika di evaluasi makin lama Susah banget makin di ribet di web ,aduh",0.0,neutral,2025-02-13 02:04:18,bagus pakai aplikasi posaja evaluasi susah banget ribet web aduh
Selalu didepan,0.0,neutral,2025-02-13 01:32:23,didepan
mntap,0.0,neutral,2025-02-11 12:51:19,mntap
Best banget🥰🥰🥰🥰🥰,0.6369,positive,2025-02-11 10:34:01,best banget
lumayan,0.0,neutral,2025-02-11 04:42:41,lumayan
"Pengalaman pertama yang sangat sangat sangat buruk... Paket dri sulsel ke balikpapan, tapi ke surabaya dulu kemudian ke banjarmasin lanjut ke balikpapan. Dikirm tanggal 31-01-2025 sampai skrg belum ada nyampe. Dan posisi barang masih di Surabaya. Paket gue di bawa muter2 dooooong. Gila gila gilaaaaaaaaaa",0.0,neutral,2025-02-10 16:21:36,pengalaman buruk paket dri sulsel balikpapan surabaya banjarmasin balikpapan dikirm tanggal 2025 skrg nyampe posisi barang surabaya paket gue bawa muter2 dooooong gila gila gilaaaaaaaaaa
Kurinya Ramah ramah,0.0,neutral,2025-02-09 09:31:23,kurinya ramah ramah
"Gimana ini kantor pos GK ngabantu banget kiriman saya di batalin uangnya belum di balikin,,Tolong dong admin posaja bantu saya kalo bisa ngabantu,Saya chatt csnya malah jadi off GK tau di blokir wa saya nya",0.0,neutral,2025-02-09 06:27:35,gimana kantor pos ngabantu banget kiriman batalin uangnya balikin tolong admin posaja bantu kalo ngabantu chatt csnya off tau blokir nya
"Sjk prtama sy pakai aplikasi pos aja klo gak salah tahun 2021-2024,pengecekn tarif lumayan sangat membantu,setelah d update awal tahun 2025,pengecekn tarif tidak bisa d gunakan lagi,sungguh updatetan yg terburuk buat saya",0.0,neutral,2025-02-08 15:05:40,sjk prtama pakai aplikasi pos aja klo gak salah 2021 2024 pengecekn tarif lumayan membantu update 2025 pengecekn tarif sungguh updatetan terburuk
Gabisa login!!,0.0,neutral,2025-02-08 07:34:42,gabisa login
Pelayanan bagus,0.0,neutral,2025-02-08 07:32:32,pelayanan bagus
"slow respon, pemalas pickup paket, sudah 2 hari paket sim saya belum ada yg pickup",0.0,neutral,2025-02-07 04:20:19,slow respon pemalas pickup paket paket sim pickup
"sangat cepat kilat mantapp,,,",0.0,neutral,2025-02-06 22:56:44,cepat kilat mantapp
"Saran saya tutup aja pos ini, suda banyak yg paket tidak sampai, Yg saya bingung di banding yg lain hanya numpang di pos tp bisa tepat waktu klw terlambat selisi 2-3hari tp pos mungkin bisa berminggu2",0.0,neutral,2025-02-06 04:10:52,saran tutup aja pos suda paket bingung banding numpang pos klw terlambat selisi 3hari pos berminggu2
Cepat dan aman Mudah digunakan,0.0,neutral,2025-02-05 10:22:44,cepat aman mudah
Pengantaran paket bagus cuman no kurir tidak ada di aplikasi. Jadi klu ada apa apa. Susah cari impormasi.,-0.296,negative,2025-02-05 10:05:42,pengantaran paket bagus cuman kurir aplikasi klu susah cari impormasi
Sangat puas menggunakan aplikasi pos aja,0.0,neutral,2025-02-05 04:14:47,puas aplikasi pos aja
"Aplikasi macam apa ini,,,login ngleg,,mau lacak paket ngeleg,,sampai scan barcode pun masih ngleg,,",0.0,neutral,2025-02-03 16:29:25,aplikasi login ngleg lacak paket ngeleg scan barcode ngleg
"Pengiriman dokumen yang super cepat, pos memang the best, sukses trus PT POS INDONESIA. 👍👍👍👍",0.8442,positive,2025-02-03 09:26:07,pengiriman dokumen super cepat pos the best sukses trus pos indonesia
Bagus untuk layanan dan aplikasinya,0.0,neutral,2025-02-03 05:18:31,bagus layanan aplikasinya
Lambat pengiman,0.0,neutral,2025-02-03 04:41:08,lambat pengiman
Kok saya registrasi tidak bisa ? Kode verifikasi selalu di bilang tidak valid apakah aplikasi ini sudah tidak berfungsi?,0.0,neutral,2025-02-02 19:54:03,registrasi kode verifikasi bilang valid aplikasi berfungsi
Semoga membantu dan terpercaya,0.0,neutral,2025-02-02 09:32:00,semoga membantu terpercaya
Pelayanan babus cepat dan terpercaya,0.0,neutral,2025-02-02 03:54:53,pelayanan babus cepat terpercaya
"sering failed ini appsnya, ga tau knp. padahal make apps jnt atau lion aman bgt",-0.5106,negative,2025-02-02 01:32:43,failed appsnya tau knp make apps jnt lion aman bgt
Cek track resi.. gak ditemukan terus padahal dari wa pos indonesia,0.0,neutral,2025-02-01 04:35:28,cek track resi gak ditemukan pos indonesia
Bagus sangat membantu,0.0,neutral,2025-01-31 08:11:59,bagus membantu
Mantap,0.0,neutral,2025-01-31 00:32:59,mantap
Keren,0.0,neutral,2025-01-30 14:50:33,keren
"Untuk pengalaman pertama saya tahun 2023 sampai tahun 2024 aplikasi baik-baik saja bahkan saya sering pakai COD dengan aplikasi ini tapi sayang di awal tahun 2025 ini kekonsistenan tersebut hilang karena sistem COD hanya bisa diinput di webnya saja Sungguh sayang sangat disayangkan jikalau tidak di-upgrade dan bahkan saya sangat kesulitan untuk input di webnya karena sudah terbiasa di aplikasi pos aja ini, seandainya boleh diusulkan mohon untuk di-upgrade dan diperbaharui semaksimal mungkn",0.0,neutral,2025-01-30 04:52:10,pengalaman 2023 2024 aplikasi pakai cod aplikasi sayang 2025 kekonsistenan hilang sistem cod diinput webnya sungguh sayang disayangkan upgrade kesulitan input webnya terbiasa aplikasi pos aja seandainya diusulkan mohon upgrade diperbaharui semaksimal mungkn
Sngt lancar tp kurang lengkap,0.0,neutral,2025-01-29 12:00:53,sngt lancar lengkap
Tolong kembalikan pos aja seperti dulu jangan lewat situs web lagi,0.0,neutral,2025-01-29 00:10:41,tolong kembalikan pos aja situs web
Byk error nya,-0.4019,negative,2025-01-28 02:38:29,byk error nya
keren banget untuk para seller,0.0,neutral,2025-01-27 15:28:29,keren banget seller
"payah,,,paket belum datang,eh,,,pas lacak resi kok malah sudah diterima yg bersangkutan,,pembohong,,,,nggk amanah",0.0,neutral,2025-01-27 11:37:20,payah paket pas lacak resi diterima bersangkutan pembohong nggk amanah
Sangat membantu untuk pelayanan pengiriman,0.0,neutral,2025-01-24 09:36:42,membantu pelayanan pengiriman
"POSAJA makin hebat mempermudah pelayanan,banyak banget diskonnya,bisa cod, bisa pickup,pengiriman cepat poinnya banyak makasih semoga POS tetap juara",0.0,neutral,2025-01-23 15:37:44,posaja hebat mempermudah pelayanan banget diskonnya cod pickup pengiriman cepat poinnya makasih semoga pos juara
Aplikasi tolol,0.0,neutral,2025-01-23 03:07:52,aplikasi tolol
"Sya udah bayar untuk pengiriman lewat pos aja, padahal udah bayar tapi ga bsa di kirm harus manual katanya, jadi bayar 2 x dan yang bayar di apliksi uangnya hangus.",0.0,neutral,2025-01-22 13:12:44,sya udah bayar pengiriman pos aja udah bayar bsa kirm manual bayar bayar apliksi uangnya hangus
Semoga semakin maju dan lebih modern lagi.,0.0,neutral,2025-01-22 05:11:10,semoga maju modern
TOLONG BISA COD LAGI. INI RIBET KALAU HARUS PAKE WEB. TOLONG YA.. SEGERA DI PERBAIKI. SAYA TINGGAL KAN JNT UNTUK INPUT COD PAKAI POS AJA. TAPI KOK KAYAK GINI. TOLONG SEGERA PERBAIKI. JANGAN SAMPAI PENJUAL PELANGGAN2 POS KAYAK SAYA BERALIH KE JNT ATAU EKPEDISI LAIN.. YG SUDAH BAIK TOLONG DI TINGKATKAN. JANGAN MUNDUR. MINIMAL PERTAHAN KAN YG SUDAH BAIK.. SARAN LAGI. TOLONG DI ADAKAN FITUR CARI DAFTAR ALAMAT YG SUDAH TERSIMPAN. SAYA PENJUAL ONLIN KASTOMER SAYA RIBUAN.. BIAR CEPAT,0.0,neutral,2025-01-22 02:21:48,tolong cod ribet pake web tolong perbaiki tinggal jnt input cod pakai pos aja kayak gini tolong perbaiki penjual pelanggan2 pos kayak beralih jnt ekpedisi tolong tingkatkan mundur minimal pertahan saran tolong adakan fitur cari daftar alamat tersimpan penjual onlin kastomer ribuan biar cepat
mantap,0.0,neutral,2025-01-21 07:46:46,mantap
Paket saya lama sekali sampainya...masa kurirnya gak tau alamat padahal di paket ada alamat lengkap....keterangan mau di antar kemaren siang sampai sekarang blm sampai ke rumah,0.0,neutral,2025-01-21 01:54:08,paket sampainya kurirnya gak tau alamat paket alamat lengkap keterangan kemaren siang blm rumah
"Saya kasih bintang 1. Karena Saya kirim barang ke nabire estimasi katanya 1 minggu sy kirm tgl 18 desember 2024 sampai sekarang belum sampai sudah tgl 20 januari 2025. Sudah 1 bulan belum sampai buruk sekali pengiriman lewat pos, hilang kepercayaan. Saya bayar bukang gratis . 👎",0.0516,positive,2025-01-20 07:12:23,kasih bintang kirim barang nabire estimasi minggu kirm tgl desember 2024 tgl januari 2025 buruk pengiriman pos hilang kepercayaan bayar bukang gratis
Dicek resi tidak pernah bisa jelek banget .,0.0,neutral,2025-01-20 02:13:58,dicek resi jelek banget
Useful apps,0.4404,positive,2025-01-18 22:49:39,useful apps
"tidak bisa daftar, kode verifikasi selalu tidak valid",0.0,neutral,2025-01-18 18:37:52,daftar kode verifikasi valid
KAPAN COD NYA JALAN LAGI😭,0.0,neutral,2025-01-17 15:28:45,cod nya jalan
Bagus banget g pakai ribet,0.0,neutral,2025-01-17 14:53:58,bagus banget pakai ribet
Mantap,0.0,neutral,2025-01-17 11:45:42,mantap
Pelayanan aman dan nyaman,0.0,neutral,2025-01-16 09:00:47,pelayanan aman nyaman
"utk saat in bagus, semoga poinnya bertmbh",0.0,neutral,2025-01-16 06:32:49,utk bagus semoga poinnya bertmbh
sangat cepat dan tepat pengiriman,0.0,neutral,2025-01-15 12:50:10,cepat pengiriman
Sangat membantu,0.0,neutral,2025-01-15 08:44:18,membantu
Terburuk aplikasi di hp saya datanya cod tapi paket ke pelanggan bisa jadi non cod katanya aplikasi eror parah sekali kalau pelanggan gak jujur hilang deh tuh uangnya,0.0,neutral,2025-01-15 07:28:04,terburuk aplikasi datanya cod paket pelanggan non cod aplikasi eror parah pelanggan gak jujur hilang deh tuh uangnya
Kecewa sama pelayanannya,0.0,neutral,2025-01-13 15:13:14,kecewa pelayanannya
Pengiriman lama.blgnya 1 mggu.ini udh lebih blm sampe²,0.0,neutral,2025-01-13 08:18:56,pengiriman blgnya mggu udh blm sampe
memudahkan banget. keren. semoga lebih maju ya pos ind,0.0,neutral,2025-01-13 01:39:46,memudahkan banget keren semoga maju pos ind
Well done,0.2732,positive,2025-01-11 14:55:53,well done
Good,0.4404,positive,2025-01-10 05:43:33,good
Bagus harapannya utk traking paket pos.,0.0,neutral,2025-01-10 02:15:58,bagus harapannya utk traking paket pos
sangat membantu di dalam mengirim paket... terima kasih kantor pos,0.0,neutral,2025-01-09 04:20:58,membantu mengirim paket terima kasih kantor pos
keren..mudah cek perjalanan paket,0.0,neutral,2025-01-08 23:24:48,keren mudah cek perjalanan paket
Ok,0.296,positive,2025-01-08 13:56:19,
"Pelayanan ramah,cepat",0.0,neutral,2025-01-08 05:42:54,pelayanan ramah cepat
"Fitur makin lengkap dan mudah untuk di gunakan bagi pemula,,terima kasih pos Indonesia selalu upgrade aplikasinya👍🏻👍🏻",0.0,neutral,2025-01-08 01:13:16,fitur lengkap mudah pemula terima kasih pos indonesia upgrade aplikasinya
Sangat baik dan ramah dan cepat,0.0,neutral,2025-01-07 23:52:35,ramah cepat
"Keren dengan fitur""nya,untuk PKH marketplace itu,bgmn caranya y,tuk kirim paket",0.0,neutral,2025-01-06 14:20:42,keren fitur nya pkh marketplace bgmn tuk kirim paket
Sangat buruk sekali pos janga gunakan pos skrg untuk mengirim sebuah keperluan data2 karna pegawai pos skrg kayak asuu anjin najis babi,0.0,neutral,2025-01-06 13:13:15,buruk pos janga pos skrg mengirim keperluan data2 karna pegawai pos skrg kayak asuu anjin najis babi
Daftar no tlp tidak bisa di ketik,-0.296,negative,2025-01-06 04:41:47,daftar tlp ketik
apk tidak bagus masa aku masukin akun tdk mau konek yg ada gagal trus,0.0,neutral,2025-01-06 02:00:51,apk bagus masukin akun tdk konek gagal trus
mantap aplikasi ya,0.0,neutral,2025-01-05 03:59:17,mantap aplikasi
Kecewa....paket kilat/expres tapi nyampenya kaya reguler 3 hari.... Dah di bilang isi STNK&BPKB yang mau di perpanjang karna tgl 4 pajak habis...,0.0,neutral,2025-01-04 05:46:33,kecewa paket kilat expres nyampenya kaya reguler dah bilang isi stnk bpkb perpanjang karna tgl pajak habis
POS REGULAR DARI SURABAYA KE SULAWESI UTARA SUDAH 3 MINGGU LEBIH PAKETNYA BELUM SAMPAI²,0.0,neutral,2025-01-03 10:21:22,pos regular surabaya sulawesi utara minggu paketnya
Boleh lah,0.0,neutral,2025-01-03 03:43:56,
jangan pake COD atau duitmu hilang!!!!,0.0,neutral,2024-12-31 02:46:19,pake cod duitmu hilang
"Barang belum sampai, dan pengantar barang tidak tau dimana",0.0,neutral,2024-12-30 15:34:18,barang pengantar barang tau dimana
"suskes selalu buat pos Indonesia Dan aplikasi pos aja,staff pos batam bapak indra the best pokoknya,, sehat2 selalu sukses terus ya",0.6369,positive,2024-12-30 03:42:13,suskes pos indonesia aplikasi pos aja staff pos batam indra the best pokoknya sehat2 sukses
"Seharusnya bisa bayar lewat kurir yang pik up,",0.0,neutral,2024-12-29 03:49:00,bayar kurir pik
Okok,0.0,neutral,2024-12-28 13:13:20,okok
"pelayanan bobrok,di bilang alamat ga ketemu,padahal kurirnya diam di kantor,khususnya pos Berastagi sumut",0.0,neutral,2024-12-28 09:58:19,pelayanan bobrok bilang alamat ketemu kurirnya diam kantor pos berastagi sumut
"Y karena sy SDH berlangganan memakai jasa logistik di KTR pos SDH lama. Cepat. Aman. Pelayanan bagus. Soal ongkos paket di KTR pos Jg murah, n g mau KLH dengan jasa logistik SM tetangga sebelah. Jasa logistik di KTR pos memang ok. Jossss gandos. 🙏🙏👍👍👍. Q ksh 🔯 5 pokoknya.",0.296,positive,2024-12-27 06:56:51,sdh berlangganan memakai jasa logistik ktr pos sdh cepat aman pelayanan bagus ongkos paket ktr pos murah klh jasa logistik tetangga sebelah jasa logistik ktr pos jossss gandos ksh pokoknya
pengiriman cepat. cuma pelayanan kurir kurang ramah. khusus nya di kota Ternate pelayanan kurir nya sangat-sangat tidak ramah. mohon di tingkatkan lagi pelayanan kurir nya 🙏 kurir nya masih minim etitudnya 🙏,0.0,neutral,2024-12-27 05:32:16,pengiriman cepat pelayanan kurir ramah khusus nya kota ternate pelayanan kurir nya ramah mohon tingkatkan pelayanan kurir nya kurir nya minim etitudnya
Online,0.0,neutral,2024-12-26 10:30:50,online
Setiap daftar minta kode padahal baru masuk tapi sudh g vatid sudh ulang - ulang tetep aja gak valid .,0.0,neutral,2024-12-25 23:46:01,daftar kode masuk sudh vatid sudh ulang ulang tetep aja gak valid
Sip,0.0,neutral,2024-12-25 01:00:57,sip
"Pengalaman buruk saat pertama menggunakan aplikasi ini, ongkir yg keluar dibayar tapi setelah divalidasi Ongkir kurang. Akhirnya transaksi dibatalkan dan uang ongkirnya tidak kembali. Nilai ongkir tidak seberapa tapi kesan pertama yg luar biasa",0.0,neutral,2024-12-24 06:40:32,pengalaman buruk aplikasi ongkir dibayar divalidasi ongkir transaksi dibatalkan uang ongkirnya nilai ongkir kesan
Hemat dan aman,0.0,neutral,2024-12-24 01:52:29,hemat aman
Mantap,0.0,neutral,2024-12-24 00:44:38,mantap
buruk buat daftar aja vertikasinya ngaco,0.0,neutral,2024-12-23 22:30:03,buruk daftar aja vertikasinya ngaco
Mantap membantu masyarakat pedalaman pos Indonesia,0.0,neutral,2024-12-22 02:58:23,mantap membantu masyarakat pedalaman pos indonesia
Eror Verifikasi kode reegistrasi tidak valid,0.0,neutral,2024-12-20 23:56:04,eror verifikasi kode reegistrasi valid
"gajelas, cek resi ga ketauan, daftar gabisa-bisa. barang udh sampe tapi gada & gada bukti pengiriman",0.0,neutral,2024-12-20 17:14:59,gajelas cek resi ketauan daftar gabisa barang udh sampe gada gada bukti pengiriman
"Sangat membantu sekali, Terimakasih pos🙏",0.0,neutral,2024-12-20 16:05:11,membantu terimakasih pos
kurirnya BEGO... surat d kirim ke perumahan PGM d kirimnya d perumahan BKI... jelas2 udah ada alamat jelasnya,0.0,neutral,2024-12-20 09:20:21,kurirnya bego surat kirim perumahan pgm kirimnya perumahan bki jelas2 udah alamat
Berlangganan kirim paket dan beli materai dekat dan terjangkau,0.0,neutral,2024-12-19 11:00:34,berlangganan kirim paket beli materai terjangkau
Keren,0.0,neutral,2024-12-19 09:42:35,keren
Aplikasi ribett.. Katanya bisa Cod tapi ribettt.. Nggak rekomended,0.0,neutral,2024-12-19 04:12:43,aplikasi ribett cod ribettt nggak rekomended
Selalu memberikan pelayanan terbaik sesuai kebutuhan rakyat,0.0,neutral,2024-12-18 05:19:14,pelayanan terbaik sesuai kebutuhan rakyat
Sangat membantu,0.0,neutral,2024-12-18 03:08:04,membantu
puas kak,0.0,neutral,2024-12-18 02:25:00,puas kak
"PELAYANAN TERBURUK NO CALL CENTRE, SUSAH DI HUBUNGI EMAIL, LAMA RESPON LIVE CHAT CS, TIDAK ADA KATA NYA BUMN.... BUSUK SEMUA ISI NYA",-0.296,negative,2024-12-16 07:30:51,pelayanan terburuk call centre susah hubungi email respon live chat nya bumn busuk isi nya
Pngriman lambat biasanya sudah sampai tapi blum sampai menyepelekan waktu,0.0,neutral,2024-12-16 05:52:46,pngriman lambat blum menyepelekan
"Saya sudah kirim dari hari kamis pakai pos kilat tapi sampai 5 hari kemudian ngga sampai sampai,rugi,bayar lebih sampai nya terlambat",0.0,neutral,2024-12-15 11:19:47,kirim kamis pakai pos kilat ngga rugi bayar nya terlambat
Sangat respon pegawainya,0.0,neutral,2024-12-14 06:37:20,respon pegawainya
Dengan aplikasi ini bisa cuan menjadi agen pengiriman bersama pos aha,0.0,neutral,2024-12-13 23:30:10,aplikasi cuan agen pengiriman pos aha
"ngirim paket bayar, barangnya retur... kok aneh makan gaji buta",0.0,neutral,2024-12-13 14:42:36,ngirim paket bayar barangnya retur aneh makan gaji buta
Cool apps. Good price. Best people,0.8555,positive,2024-12-13 13:36:34,cool apps good price best people
baik lanjutkan posaja,0.0,neutral,2024-12-12 21:18:36,lanjutkan posaja
Sangat membantu,0.0,neutral,2024-12-12 14:23:33,membantu
kenapa poinnya tidak bisa digunakan?,0.0,neutral,2024-12-12 11:16:38,poinnya
Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Verifikasi tidak valid. Mau daftar kok repot bangetttttttttt ngapai kirom kode verifikasi yg gak valid.. mauk banarr,0.0,neutral,2024-12-11 23:06:36,verifikasi valid verifikasi valid verifikasi valid verifikasi valid verifikasi valid daftar repot bangetttttttttt ngapai kirom kode verifikasi gak valid mauk banarr
Mantappp kirim dari jawatengah ke kalteng pakai reguler 2hari sampai,0.0,neutral,2024-12-11 12:17:47,mantappp kirim jawatengah kalteng pakai reguler 2hari
"Aplikasi banyak error, cek tarifnya tidak bisa",-0.4019,negative,2024-12-11 03:45:26,aplikasi error cek tarifnya
Pengiriman sangat lambat,0.0,neutral,2024-12-10 07:11:22,pengiriman lambat
"Gimana mau daftar, kode verifikasinya aja invalid terus 🙄 heran.",0.0,neutral,2024-12-06 21:54:43,gimana daftar kode verifikasinya aja invalid heran
semoga post office lancar terus dan lebih maju bisa bersaing dengan delivery barang lainnya.,0.0,neutral,2024-12-06 01:49:35,semoga post office lancar maju bersaing delivery barang
Gimana sih Mau daftar tapi tidak valid melulu. Dasar robot,0.0,neutral,2024-12-05 18:29:08,gimana sih daftar valid melulu dasar robot
Bqgus,0.0,neutral,2024-12-04 08:00:15,bqgus
ok,0.296,positive,2024-12-02 22:10:33,
Pengiriman barangnya ini lelet sekali masa mengirim barangnya belum dianter anter padahal sudah mau mau 3 hari dikantornya,0.0,neutral,2024-12-02 09:25:32,pengiriman barangnya lelet mengirim barangnya dianter anter dikantornya
Utamakan konsumen !! Pig.,0.0,neutral,2024-12-01 03:57:45,utamakan konsumen pig
"kocakkk pos indonesia kocakkk tau ga kocakkk pengirimann darii cimahii ke jawa timur surabaya aja 1 minggu lebih belum dateng, hadehh bikin kesel aja tidak memuaskan samsek.",0.0,neutral,2024-11-30 04:02:08,kocakkk pos indonesia kocakkk tau kocakkk pengirimann darii cimahii jawa timur surabaya aja minggu dateng hadehh bikin kesel aja memuaskan samsek
"Pelayanan Pos sekarang tambah gak bagus, saya ambil pengiriman ekspres dari Manado ke Jakarta, sampe 4 hari barangnya belum tiba di tujuan, padahal paketnya berupa makanan 😔",0.0,neutral,2024-11-28 10:13:00,pelayanan pos gak bagus ambil pengiriman ekspres manado jakarta sampe barangnya tujuan paketnya makanan
ga bisa lacak kiriman untuk Internasional.,0.0,neutral,2024-11-28 06:56:24,lacak kiriman internasional
